"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"48","275.910080611932","284.3717002494668","4.873761577475898","-0.30796966519372043","0.023600000000000065","0.0242","0.023","1400","0.00027016156695801135","0.00027016156695801135","0.00027016156695801135","48_47:0.008523563323042521;48_49:0.012528979233011689","48_47:660;48_49:660","true"
"49","191.3048536351145","56.45614176509908","4.842888738222459","0","0.010699999999999932","0.0152","0.006199999999999983","1400","0.0003623453501503028","0.0003623453501503028","0.0003623453501503028","49_50:0.005912275456228494","49_50:660","true"
"50","211.1336682601789","220.9039482123283","5.0037654120203845","-0.30572919884522587","0.00869999999999993","0.009199999999999986","0.0082","1400","0.0001587381414691256","0.0001587381414691256","0.0001587381414691256","50_51:0.00500811094872014","50_51:660","true"
"51","179.75622048478664","42.073589691896174","4.932000068762334","-0.30616136401130345","0.02290000000000003","0.023","0.022800000000000042","1400","0.00017635082050647855","0.00017635082050647855","0.00017635082050647855","51_36:0.004358201025667141","51_36:660","true"
"52","228.57584211472488","85.14868564286691","4.977913176050153","-0.30556697106388314","0.031099999999999905","0.04479999999999995","0.0174","1400","0.00023895374482236432","0.00023895374482236432","0.00023895374482236432","52_56:0.015177111580372105","52_56:660","true"
"53","193.47892812109245","13.790745881433187","4.848813790366073","-0.3075268753502783","0.03059999999999996","0.0118","0.0494","1400","0.00022436682146625622","0.00022436682146625622","0.00022436682146625622","53_41:0.005567477221502026","53_41:660","true"
"54","333.53132506898555","137.24851630218816","4.8783489353120295","-0.3069458254441859","0.006799999999999917","0.007199999999999984","0.0064","1400","0.00032524979670146625","0.00032524979670146625","0.00032524979670146625","","","true"
"55","17.173341923398148","117.54371536965812","4.907301291155633","-0.3073215185005289","0.0131","0.019399999999999973","0.0068","1400","0.00040908030431901485","0.00040908030431901485","0.00040908030431901485","55_49:0.006501132028354423","55_49:660","true"
"56","101.70730024077933","74.36314678607835","5.11581366063352","-0.3040137770050246","0.01970000000000005","0.024800000000000044","0.0146","1400","0.0003021436206340076","0.0003021436206340076","0.0003021436206340076","","","true"
"57","272.33128330415855","22.42203128979157","4.9693608024670874","-0.30548036357040764","0.010000000000000009","0.012399999999999967","0.0076","1400","0.0009905632897351802","0.0009905632897351802","0.0009905632897351802","57_56:0.014404598132041146;57_58:0.022238984100309417","57_56:660;57_58:660","true"
"58","195.84953610993531","217.62669876833738","4.73730005404998","-0.3112562293028337","0.08830000000000005","0.09119999999999995","0.0854","1400","0.00006879154244631363","0.00006879154244631363","0.00006879154244631363","58_71:0.005569535417001448","58_71:660","true"
"59","381.38860732189636","148.9003692514581","4.9015201506345285","-0.3070516806225324","0.016599999999999948","0.013399999999999967","0.0198","1400","0.0004947127872376716","0.0004947127872376716","0.0004947127872376716","59_58:0.007867845531839945;59_60:0.006253740292441745","59_58:660;59_60:660","true"
